id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
139,BTC-USDT,short,2024-12-08 05:00:00,99741.10,2024-12-08 08:45:00,99160.11,6.08,0.58,tp_hit,three_black_crows
136,BTC-USDT,long,2024-12-07 08:00:00,99545.60,2024-12-08 09:00:00,98892.13,-6.86,-0.66,sl_hit,doji|three_white_soldiers
140,BTC-USDT,short,2024-12-08 08:00:00,99503.30,2024-12-08 09:00:00,99895.47,-4.11,-0.39,sl_hit,evening_star
141,BTC-USDT,long,2024-12-08 23:00:00,100528.80,2024-12-08 23:45:00,101119.67,6.13,0.59,tp_hit,three_white_soldiers
142,BTC-USDT,short,2024-12-09 02:00:00,99722.10,2024-12-09 07:15:00,98367.60,14.18,1.36,tp_hit,three_black_crows
143,BTC-USDT,short,2024-12-09 08:00:00,99658.20,2024-12-09 09:15:00,98679.15,10.27,0.98,tp_hit,engulfing
144,BTC-USDT,short,2024-12-09 11:00:00,98424.40,2024-12-09 13:45:00,99250.91,-8.79,-0.84,sl_hit,engulfing
145,BTC-USDT,long,2024-12-09 14:00:00,99225.00,2024-12-09 14:45:00,100397.40,12.36,1.18,tp_hit,three_white_soldiers
146,BTC-USDT,short,2024-12-10 02:00:00,97786.20,2024-12-10 03:00:00,96481.76,13.97,1.33,tp_hit,evening_star
148,BTC-USDT,long,2024-12-10 11:00:00,97693.00,2024-12-10 12:30:00,97143.24,-5.90,-0.56,sl_hit,doji|three_white_soldiers
147,BTC-USDT,long,2024-12-10 05:00:00,96819.60,2024-12-10 16:00:00,95588.76,-13.33,-1.27,sl_hit,hammer
149,BTC-USDT,short,2024-12-10 17:00:00,95287.60,2024-12-10 21:30:00,97090.03,-19.79,-1.89,sl_hit,engulfing
151,BTC-USDT,long,2024-12-11 02:00:00,95928.20,2024-12-11 02:30:00,97369.51,15.69,1.50,tp_hit,engulfing
150,BTC-USDT,short,2024-12-10 23:00:00,96813.10,2024-12-11 05:00:00,97654.43,-9.08,-0.87,sl_hit,evening_star
152,BTC-USDT,short,2024-12-11 17:00:00,100790.30,2024-12-11 22:00:00,101819.70,-10.67,-1.02,sl_hit,evening_star
153,BTC-USDT,long,2024-12-11 20:00:00,101157.80,2024-12-12 11:00:00,100273.63,-9.14,-0.87,sl_hit,three_white_soldiers
156,BTC-USDT,short,2024-12-12 11:00:00,100220.90,2024-12-12 12:15:00,100668.64,-4.66,-0.45,sl_hit,three_black_crows
154,BTC-USDT,short,2024-12-12 05:00:00,100770.60,2024-12-12 13:15:00,101500.94,-7.57,-0.72,sl_hit,shooting_star|three_black_crows
155,BTC-USDT,long,2024-12-12 08:00:00,100619.50,2024-12-12 13:15:00,101323.24,7.30,0.70,tp_hit,engulfing|morning_star
157,BTC-USDT,long,2024-12-12 14:00:00,101005.50,2024-12-12 16:00:00,102042.79,10.71,1.03,tp_hit,three_white_soldiers
158,BTC-USDT,long,2024-12-13 14:00:00,100459.20,2024-12-13 15:00:00,101152.37,7.20,0.69,tp_hit,morning_star
160,BTC-USDT,long,2024-12-13 23:00:00,101199.10,2024-12-14 01:00:00,101934.87,7.59,0.73,tp_hit,engulfing
159,BTC-USDT,long,2024-12-13 20:00:00,101332.40,2024-12-14 01:15:00,102423.16,11.24,1.08,tp_hit,morning_star
161,BTC-USDT,long,2024-12-14 08:00:00,101674.80,2024-12-14 10:00:00,101339.99,-3.45,-0.33,sl_hit,doji
162,BTC-USDT,short,2024-12-14 17:00:00,101615.90,2024-12-14 17:30:00,101085.56,5.46,0.52,tp_hit,engulfing|evening_star
163,BTC-USDT,short,2024-12-14 20:00:00,101278.90,2024-12-15 01:30:00,101744.17,-4.81,-0.46,sl_hit,engulfing
164,BTC-USDT,long,2024-12-14 23:00:00,101228.00,2024-12-15 01:45:00,101884.40,6.79,0.65,tp_hit,three_white_soldiers
165,BTC-USDT,long,2024-12-15 08:00:00,101778.20,2024-12-15 10:00:00,102389.58,6.29,0.60,tp_hit,engulfing|morning_star
166,BTC-USDT,long,2024-12-15 11:00:00,102380.60,2024-12-15 12:00:00,102899.28,5.31,0.51,tp_hit,three_white_soldiers
168,BTC-USDT,short,2024-12-15 20:00:00,103199.70,2024-12-15 23:00:00,103613.76,-4.20,-0.40,sl_hit,engulfing|evening_star
167,BTC-USDT,long,2024-12-15 17:00:00,103147.30,2024-12-15 23:15:00,103982.35,8.48,0.81,tp_hit,doji
170,BTC-USDT,long,2024-12-16 05:00:00,104696.70,2024-12-16 11:45:00,103971.01,-7.27,-0.69,sl_hit,morning_star
171,BTC-USDT,short,2024-12-16 11:00:00,104715.80,2024-12-16 11:45:00,103954.40,7.62,0.73,tp_hit,engulfing|evening_star
169,BTC-USDT,short,2024-12-16 02:00:00,105129.60,2024-12-16 15:15:00,106485.60,-13.52,-1.29,sl_hit,engulfing|evening_star
172,BTC-USDT,long,2024-12-16 17:00:00,106668.50,2024-12-16 23:30:00,105495.30,-11.52,-1.10,sl_hit,three_white_soldiers
